"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"1358";"A050412";"1013800";"2020JJ00";"    72.0";"   137.4";"   270.6";"    58.8";"    38.0";"    0.53";"     2.3";"     3.5";"     0.0";"    50.2";"     7.5";"     5.8";"     3.8";"     4.7";"     0.0";"    30.6";"    29.0";"    12.4";"     0.0";"    36.2";"    28.1";"     7.7"
"1359";"A050412";"1013800";"2021JJ00";"    71.1";"   137.0";"   296.6";"    59.7";"    38.6";"    0.48";"     2.3";"     3.4";"     0.0";"    55.8";"     6.4";"     4.1";"     2.3";"     2.5";"     0.0";"    30.7";"    28.8";"    11.6";"     0.0";"    36.6";"    27.2";"     7.3"
"1360";"A050412";"1013850";"2006JJ00";"   447.6";"    83.2";"   300.7";"       .";"       .";"    0.22";"       .";"       .";"     0.0";"   414.3";"    10.2";"     7.1";"     5.3";"    10.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1361";"A050412";"1013850";"2007JJ00";"   477.2";"    88.5";"   322.4";"       .";"       .";"    0.23";"       .";"       .";"     0.0";"   442.7";"    11.1";"     7.8";"     5.6";"     9.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1362";"A050412";"1013850";"2008JJ00";"   497.5";"    94.8";"   334.8";"       .";"       .";"    0.23";"       .";"       .";"     0.0";"   460.4";"    12.2";"     8.8";"     6.1";"    10.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1363";"A050412";"1013850";"2009JJ00";"   505.0";"    98.3";"   329.3";"       .";"       .";"    0.25";"       .";"       .";"     0.0";"   463.3";"    13.5";"     9.7";"     6.7";"    11.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1364";"A050412";"1013850";"2010JJ00";"   527.3";"   101.3";"   305.9";"       .";"       .";"    0.28";"       .";"       .";"     0.0";"   471.8";"    17.7";"    12.2";"     8.8";"    16.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1365";"A050412";"1013850";"2011JJ00";"   616.8";"   107.6";"   305.5";"    51.6";"    37.8";"    0.29";"     1.8";"     2.3";"     0.0";"   545.4";"    22.9";"    16.1";"    11.3";"    21.2";"     0.0";"   347.7";"   179.2";"    89.9";"     0.0";"   431.1";"   138.1";"    47.6"
"1366";"A050412";"1013850";"2012JJ00";"   644.0";"   110.4";"   289.9";"    51.8";"    38.1";"    0.32";"     1.8";"     2.4";"     0.0";"   553.4";"    27.9";"    19.4";"    14.2";"    29.1";"     0.0";"   354.8";"   191.3";"    98.0";"     0.0";"   444.8";"   148.4";"    50.8"
"1367";"A050412";"1013850";"2013JJ00";"   666.2";"   112.2";"   259.8";"    52.0";"    37.9";"    0.36";"     1.8";"     2.4";"     0.0";"   540.8";"    34.9";"    25.6";"    18.9";"    46.0";"     0.0";"   362.1";"   200.4";"   103.7";"     0.0";"   454.2";"   158.2";"    53.8"
"1368";"A050412";"1013850";"2014JJ00";"   681.8";"   115.5";"   258.3";"    57.4";"    41.9";"    0.38";"     1.8";"     2.4";"     0.0";"   544.8";"    37.2";"    27.8";"    20.7";"    51.3";"     0.0";"   372.5";"   205.8";"   103.4";"     0.0";"   470.1";"   160.4";"    51.2"
